case_id,browser,chatgpt_login,shopai_app,merchant,campaign,conversation,expected_result,observed_result,status,evidence
U015-001,desktop_browser,logged_in,connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-002,desktop_browser,logged_in,connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-003,desktop_browser,logged_in,connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-004,desktop_browser,logged_in,connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-005,desktop_browser,logged_in,connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-006,desktop_browser,logged_in,connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-007,desktop_browser,logged_in,connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-008,desktop_browser,logged_in,connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-009,desktop_browser,logged_in,connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-010,desktop_browser,logged_in,connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-011,desktop_browser,logged_in,connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-012,desktop_browser,logged_in,connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
